ticker,check,statistic,observed,lower,upper,inside
A,prior,mean_pct,0.09701229020606661,-0.4201175714783537,0.45522948229509874,True
A,prior,volatility_pct,2.0485302759956343,0.2123767568645578,3.757111558008844,True
A,prior,q01_pct,-3.53931225836277,-9.347358394033476,-0.45114083776124775,True
A,prior,q99_pct,4.734145030379295,0.48219812078311164,9.325640916818948,True
A,prior,max_drawdown_pct,-29.74744112608979,-70.82048943965566,-1.2993932549424958,True
A,posterior,mean_pct,0.09701229020606661,-0.3658058364897615,0.4124939834793338,True
A,posterior,volatility_pct,2.0485302759956343,1.537364665548786,3.506411427021221,True
A,posterior,q01_pct,-3.53931225836277,-8.606332884721073,-3.3498853664129773,True
A,posterior,q99_pct,4.734145030379295,3.0183205889145253,9.753566254150625,True
A,posterior,max_drawdown_pct,-29.74744112608979,-68.11098659421384,-11.012808358022797,True
AAPL,prior,mean_pct,0.13869539898081484,-0.4201175714783537,0.45522948229509874,True
AAPL,prior,volatility_pct,1.5837021748898783,0.2123767568645578,3.757111558008844,True
AAPL,prior,q01_pct,-4.253724310547113,-9.347358394033476,-0.45114083776124775,True
AAPL,prior,q99_pct,4.034123066812753,0.48219812078311164,9.325640916818948,True
AAPL,prior,max_drawdown_pct,-13.79852383839577,-70.82048943965566,-1.2993932549424958,True
AAPL,posterior,mean_pct,0.13869539898081484,-0.24874907588482503,0.38129041492013943,True
AAPL,posterior,volatility_pct,1.5837021748898783,1.2595345475149735,3.1743824224536255,True
AAPL,posterior,q01_pct,-4.253724310547113,-8.185818684907261,-2.6109887810156054,True
AAPL,posterior,q99_pct,4.034123066812753,2.873483635556826,8.735811625860874,True
AAPL,posterior,max_drawdown_pct,-13.79852383839577,-53.360750843326386,-7.254942286972294,True
ABBV,prior,mean_pct,0.10757649288279936,-0.4201175714783537,0.45522948229509874,True
ABBV,prior,volatility_pct,1.6584802255759339,0.2123767568645578,3.757111558008844,True
ABBV,prior,q01_pct,-3.9806561730802064,-9.347358394033476,-0.45114083776124775,True
ABBV,prior,q99_pct,4.223242197185755,0.48219812078311164,9.325640916818948,True
ABBV,prior,max_drawdown_pct,-17.315232372385825,-70.82048943965566,-1.2993932549424958,True
ABBV,posterior,mean_pct,0.10757649288279936,-0.31175141946722557,0.366890465878092,True
ABBV,posterior,volatility_pct,1.6584802255759339,1.3210673827909105,2.970867438109307,True
ABBV,posterior,q01_pct,-3.9806561730802064,-8.339503380844558,-2.865222986963989,True
ABBV,posterior,q99_pct,4.223242197185755,2.8683808927853374,8.497038712928603,True
ABBV,posterior,max_drawdown_pct,-17.315232372385825,-60.541344118741506,-9.275136087706379,True
ABNB,prior,mean_pct,0.15262717465702735,-0.4201175714783537,0.45522948229509874,True
ABNB,prior,volatility_pct,2.1577199796316635,0.2123767568645578,3.757111558008844,True
ABNB,prior,q01_pct,-4.684963971376418,-9.347358394033476,-0.45114083776124775,True
ABNB,prior,q99_pct,5.055019669234753,0.48219812078311164,9.325640916818948,True
ABNB,prior,max_drawdown_pct,-17.212827387572172,-70.82048943965566,-1.2993932549424958,True
ABNB,posterior,mean_pct,0.15262717465702735,-0.3880872251561216,0.4518757920153528,True
ABNB,posterior,volatility_pct,2.1577199796316635,1.619001660663917,3.8994543032491022,True
ABNB,posterior,q01_pct,-4.684963971376418,-9.426541252251782,-3.5457712068516645,True
ABNB,posterior,q99_pct,5.055019669234753,3.535191233544218,10.017218007564587,True
ABNB,posterior,max_drawdown_pct,-17.212827387572172,-69.75894980104252,-10.401188466804987,True
ABT,prior,mean_pct,-0.0523410449147832,-0.4201175714783537,0.45522948229509874,True
ABT,prior,volatility_pct,1.6788401184581307,0.2123767568645578,3.757111558008844,True
ABT,prior,q01_pct,-3.418085537850857,-9.347358394033476,-0.45114083776124775,True
ABT,prior,q99_pct,3.753846175968641,0.48219812078311164,9.325640916818948,True
ABT,prior,max_drawdown_pct,-38.61067681598998,-70.82048943965566,-1.2993932549424958,True
ABT,posterior,mean_pct,-0.0523410449147832,-0.3914519235249696,0.24370673152861314,True
ABT,posterior,volatility_pct,1.6788401184581307,1.2491453430177897,2.8117862671312865,True
ABT,posterior,q01_pct,-3.418085537850857,-8.573442685558028,-2.747253245872608,True
ABT,posterior,q99_pct,3.753846175968641,2.6746909777076553,8.438303500284892,True
ABT,posterior,max_drawdown_pct,-38.61067681598998,-68.106958843968,-9.431041592027512,True
ACGL,prior,mean_pct,0.03725469738924403,-0.4201175714783537,0.45522948229509874,True
ACGL,prior,volatility_pct,1.324079541355038,0.2123767568645578,3.757111558008844,True
ACGL,prior,q01_pct,-3.9241388998925686,-9.347358394033476,-0.45114083776124775,True
ACGL,prior,q99_pct,3.3225356601178633,0.48219812078311164,9.325640916818948,True
ACGL,prior,max_drawdown_pct,-14.08119293319472,-70.82048943965566,-1.2993932549424958,True
ACGL,posterior,mean_pct,0.03725469738924403,-0.24522074525652343,0.3113877983735141,True
ACGL,posterior,volatility_pct,1.324079541355038,1.0556585446846334,1.9895280527469128,True
ACGL,posterior,q01_pct,-3.9241388998925686,-5.691268474518313,-2.144735834944462,True
ACGL,posterior,q99_pct,3.3225356601178633,2.3112343470613657,6.323905614450886,True
ACGL,posterior,max_drawdown_pct,-14.08119293319472,-50.62529628221003,-7.214180101461825,True
ACN,prior,mean_pct,-0.0765502206832025,-0.4201175714783537,0.45522948229509874,True
ACN,prior,volatility_pct,2.7653314514828655,0.2123767568645578,3.757111558008844,True
ACN,prior,q01_pct,-6.380775813013314,-9.347358394033476,-0.45114083776124775,True
ACN,prior,q99_pct,6.366704124957312,0.48219812078311164,9.325640916818948,True
ACN,prior,max_drawdown_pct,-56.506796907748445,-70.82048943965566,-1.2993932549424958,True
ACN,posterior,mean_pct,-0.0765502206832025,-0.4992573865170787,0.39111918526381356,True
ACN,posterior,volatility_pct,2.7653314514828655,1.9977650098203046,2.929712702706498,True
ACN,posterior,q01_pct,-6.380775813013314,-9.742250576093381,-4.417920586924148,True
ACN,posterior,q99_pct,6.366704124957312,4.2597233064985005,9.100125206227304,True
ACN,posterior,max_drawdown_pct,-56.506796907748445,-76.6272090035473,-15.287038329869814,True
ADBE,prior,mean_pct,-0.07924579705758106,-0.4201175714783537,0.45522948229509874,True
ADBE,prior,volatility_pct,2.512115760688758,0.2123767568645578,3.757111558008844,True
ADBE,prior,q01_pct,-6.742997281253338,-9.347358394033476,-0.45114083776124775,True
ADBE,prior,q99_pct,5.898041613399978,0.48219812078311164,9.325640916818948,True
ADBE,prior,max_drawdown_pct,-47.365697396608155,-70.82048943965566,-1.2993932549424958,True
ADBE,posterior,mean_pct,-0.07924579705758106,-0.4836222459906479,0.3999406466200708,True
ADBE,posterior,volatility_pct,2.512115760688758,2.0261528075335726,2.9842896553925673,True
ADBE,posterior,q01_pct,-6.742997281253338,-9.248553075353454,-4.2415141929994915,True
ADBE,posterior,q99_pct,5.898041613399978,4.152992890491352,9.080435347386468,True
ADBE,posterior,max_drawdown_pct,-47.365697396608155,-74.00793736686065,-12.971812588074219,True
ADI,prior,mean_pct,0.1692325077641499,-0.4201175714783537,0.45522948229509874,True
ADI,prior,volatility_pct,2.2144489469817543,0.2123767568645578,3.757111558008844,True
ADI,prior,q01_pct,-5.7765697687864295,-9.347358394033476,-0.45114083776124775,True
ADI,prior,q99_pct,5.688055716454982,0.48219812078311164,9.325640916818948,True
ADI,prior,max_drawdown_pct,-20.67657696812568,-70.82048943965566,-1.2993932549424958,True
ADI,posterior,mean_pct,0.1692325077641499,-0.3566661857167463,0.5178231685431817,True
ADI,posterior,volatility_pct,2.2144489469817543,1.7980825064119044,2.8877822909848216,True
ADI,posterior,q01_pct,-5.7765697687864295,-9.01944517665902,-3.8753475210130843,True
ADI,posterior,q99_pct,5.688055716454982,3.8430417089027746,9.65562642871069,True
ADI,posterior,max_drawdown_pct,-20.67657696812568,-69.05553420318313,-11.661551455517497,True
ADM,prior,mean_pct,0.14316471059032665,-0.4201175714783537,0.45522948229509874,True
ADM,prior,volatility_pct,1.7082601687284327,0.2123767568645578,3.757111558008844,True
ADM,prior,q01_pct,-3.638636618852616,-9.347358394033476,-0.45114083776124775,True
ADM,prior,q99_pct,4.258830193430179,0.48219812078311164,9.325640916818948,True
ADM,prior,max_drawdown_pct,-12.28813893381535,-70.82048943965566,-1.2993932549424958,True
ADM,posterior,mean_pct,0.14316471059032665,-0.3504423051630378,0.45703941497867134,True
ADM,posterior,volatility_pct,1.7082601687284327,1.4153915707839058,2.3531177007940647,True
